category,name,target,description,url
教育資源,教育部弱勢學生助學計畫,學生/低收入戶,提供學雜費減免與生活助學金,https://help-students.moe.gov.tw/
教育資源,偏鄉數位學習計畫,偏鄉學生,提供遠距教學設備與數位課程資源,https://itest.edu.tw/
教育資源,成人基本教育研習班,失學民眾/新住民,提供識字教育與基本生活技能培訓,https://www.edu.tw/
醫療協助,偏鄉醫療巡迴服務,身心障礙/偏鄉居民,針對醫療資源不足地區提供巡迴醫療支援,https://www.mohw.gov.tw/
醫療協助,身心障礙者輔具費用補助,身心障礙者,補助購買輪椅、助聽器等生活輔助器具,https://dep.mohw.gov.tw/
醫療協助,罕見疾病藥物費用補助,罕見疾病患者,減輕特殊醫療藥物與維持生命所需器材費,https://www.hpa.gov.tw/
就業/職訓,青年職涯發展津貼,失業青年/學生,提供職業訓練期間的生活津貼與就業媒合,https://www.wda.gov.tw/
就業/職訓,中高齡者職務再設計補助,45歲以上勞工,協助改善工作設備以延長職業生涯,https://www.wda.gov.tw/
就業/職訓,新住民創業諮詢服務,新住民,提供創業貸款、市場分析與輔導課程,https://www.immigration.gov.tw/
生活補助,急難救助金,低收入/突發困境,針對遭遇突發事故導致生活陷困者提供救助,https://www.sfaa.gov.tw/
生活補助,高齡者營養餐飲服務,獨居長者/銀髮族,提供居家送餐與營養餐食補助,https://www.sfaa.gov.tw/
生活補助,租金補貼專案計畫,無房產弱勢族群,提供每月定額租金補貼減輕居住負擔,https://pip.moi.gov.tw/
法律支援,法律扶助基金會服務,低收入/勞資爭議,提供免費律師諮詢與訴訟補助,https://www.laf.org.tw/
法律支援,性別平等法律諮詢,婦女/性騷擾受害者,針對職場性別不平權提供法律管道協助,https://www.moj.gov.tw/
